,time,price,volume
126,2021-06-15 15:42:38,130055.0,2
127,2021-06-15 15:42:38,130055.0,1
128,2021-06-15 15:42:39,130060.0,3
129,2021-06-15 15:42:39,130055.0,12
130,2021-06-15 15:42:40,130055.0,5
131,2021-06-15 15:42:40,130055.0,1
132,2021-06-15 15:42:41,130055.0,1
133,2021-06-15 15:42:41,130060.0,5
134,2021-06-15 15:42:42,130050.0,5
135,2021-06-15 15:42:42,130055.0,63
136,2021-06-15 15:42:43,130055.0,2
137,2021-06-15 15:42:43,130055.0,1
138,2021-06-15 15:42:44,130055.0,1
139,2021-06-15 15:42:44,130050.0,3
140,2021-06-15 15:42:45,130060.0,10
141,2021-06-15 15:42:45,130060.0,1
142,2021-06-15 15:42:46,130055.0,33
143,2021-06-15 15:42:46,130050.0,30
144,2021-06-15 15:42:47,130055.0,1
145,2021-06-15 15:42:48,130050.0,10
146,2021-06-15 15:42:48,130055.0,1
147,2021-06-15 15:42:49,130050.0,1
148,2021-06-15 15:42:49,130045.0,1
149,2021-06-15 15:42:50,130050.0,2
150,2021-06-15 15:42:50,130045.0,1
151,2021-06-15 15:42:51,130040.0,3
152,2021-06-15 15:42:51,130045.0,89
153,2021-06-15 15:42:52,130040.0,5
154,2021-06-15 15:42:52,130045.0,1
155,2021-06-15 15:42:53,130045.0,33
156,2021-06-15 15:42:53,130045.0,5
157,2021-06-15 15:42:54,130045.0,3
158,2021-06-15 15:42:54,130050.0,2
159,2021-06-15 15:42:55,130050.0,2
160,2021-06-15 15:42:55,130055.0,1
161,2021-06-15 15:42:56,130060.0,10
162,2021-06-15 15:42:56,130055.0,5
163,2021-06-15 15:42:57,130055.0,2
164,2021-06-15 15:42:58,130055.0,1
165,2021-06-15 15:42:58,130050.0,20
166,2021-06-15 15:42:59,130055.0,1
167,2021-06-15 15:42:59,130055.0,15
168,2021-06-15 15:43:00,130055.0,3
169,2021-06-15 15:43:00,130055.0,1
170,2021-06-15 15:43:01,130050.0,1
171,2021-06-15 15:43:01,130050.0,26
172,2021-06-15 15:43:02,130045.0,7
173,2021-06-15 15:43:02,130035.0,1
174,2021-06-15 15:43:03,130030.0,2
175,2021-06-15 15:43:03,130030.0,1
176,2021-06-15 15:43:04,130030.0,1
177,2021-06-15 15:43:04,130030.0,1
178,2021-06-15 15:43:05,130035.0,1
179,2021-06-15 15:43:05,130035.0,1
180,2021-06-15 15:43:06,130035.0,1
181,2021-06-15 15:43:06,130035.0,2
182,2021-06-15 15:43:07,130040.0,1
183,2021-06-15 15:43:07,130040.0,1
184,2021-06-15 15:43:08,130035.0,1
185,2021-06-15 15:43:08,130040.0,3
186,2021-06-15 15:43:09,130040.0,5
187,2021-06-15 15:43:10,130040.0,1
188,2021-06-15 15:43:10,130035.0,5
189,2021-06-15 15:43:11,130040.0,1
190,2021-06-15 15:43:11,130040.0,4
191,2021-06-15 15:43:12,130040.0,2
192,2021-06-15 15:43:12,130040.0,2
193,2021-06-15 15:43:13,130040.0,1
194,2021-06-15 15:43:13,130040.0,7
195,2021-06-15 15:43:14,130030.0,10
196,2021-06-15 15:43:14,130035.0,1
197,2021-06-15 15:43:15,130035.0,1
198,2021-06-15 15:43:15,130030.0,2
199,2021-06-15 15:43:16,130035.0,2
200,2021-06-15 15:43:16,130030.0,10
201,2021-06-15 15:43:17,130030.0,1
202,2021-06-15 15:43:17,130030.0,12
203,2021-06-15 15:43:18,130035.0,1
204,2021-06-15 15:43:18,130035.0,1
205,2021-06-15 15:43:19,130030.0,4
206,2021-06-15 15:43:19,130030.0,1
207,2021-06-15 15:43:20,130030.0,12
208,2021-06-15 15:43:20,130035.0,1
209,2021-06-15 15:43:21,130035.0,3
210,2021-06-15 15:43:22,130025.0,1
211,2021-06-15 15:43:22,130030.0,1
212,2021-06-15 15:43:23,130025.0,3
213,2021-06-15 15:43:23,130030.0,1
214,2021-06-15 15:43:24,130025.0,15
215,2021-06-15 15:43:24,130025.0,5
216,2021-06-15 15:43:25,130030.0,2
217,2021-06-15 15:43:25,130025.0,20
218,2021-06-15 15:43:26,130010.0,107
219,2021-06-15 15:43:26,130020.0,129
220,2021-06-15 15:43:27,130020.0,4
221,2021-06-15 15:43:27,130015.0,5
222,2021-06-15 15:43:28,130015.0,4
223,2021-06-15 15:43:28,130010.0,2
224,2021-06-15 15:43:29,130010.0,20
225,2021-06-15 15:43:29,130015.0,1
226,2021-06-15 15:43:30,130015.0,5
227,2021-06-15 15:43:30,130020.0,5
228,2021-06-15 15:43:31,130015.0,20
