<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.11	21:21:00	1.19818	1.19835	1.19818	1.19831	51	0	1
2021.03.11	21:22:00	1.19832	1.19837	1.19821	1.19821	49	0	1
2021.03.11	21:23:00	1.19821	1.19825	1.19817	1.19822	43	0	1
2021.03.11	21:24:00	1.19822	1.19834	1.19817	1.19823	58	0	1
2021.03.11	21:25:00	1.19823	1.19827	1.19821	1.19822	30	0	1
2021.03.11	21:26:00	1.19821	1.19827	1.19819	1.19820	31	0	1
2021.03.11	21:27:00	1.19819	1.19831	1.19819	1.19830	39	0	1
2021.03.11	21:28:00	1.19829	1.19831	1.19822	1.19826	41	0	1
2021.03.11	21:29:00	1.19827	1.19838	1.19826	1.19830	47	0	1
2021.03.11	21:30:00	1.19828	1.19830	1.19825	1.19826	43	0	1
2021.03.11	21:31:00	1.19825	1.19826	1.19820	1.19821	53	0	1
2021.03.11	21:32:00	1.19821	1.19821	1.19812	1.19815	53	0	1
2021.03.11	21:33:00	1.19817	1.19822	1.19817	1.19820	36	0	1
2021.03.11	21:34:00	1.19820	1.19825	1.19818	1.19820	39	0	1
2021.03.11	21:35:00	1.19820	1.19821	1.19809	1.19816	51	0	1
2021.03.11	21:36:00	1.19818	1.19822	1.19811	1.19812	56	0	1
2021.03.11	21:37:00	1.19812	1.19819	1.19812	1.19819	45	0	1
2021.03.11	21:38:00	1.19818	1.19822	1.19816	1.19819	54	0	1
2021.03.11	21:39:00	1.19819	1.19820	1.19809	1.19811	44	0	1
2021.03.11	21:40:00	1.19810	1.19814	1.19808	1.19810	40	0	1
2021.03.11	21:41:00	1.19811	1.19821	1.19811	1.19812	33	0	1
2021.03.11	21:42:00	1.19813	1.19821	1.19813	1.19816	34	0	1
2021.03.11	21:43:00	1.19816	1.19829	1.19814	1.19828	40	0	1
2021.03.11	21:44:00	1.19828	1.19829	1.19822	1.19827	33	0	1
2021.03.11	21:45:00	1.19827	1.19829	1.19819	1.19820	38	0	1
2021.03.11	21:46:00	1.19821	1.19827	1.19819	1.19826	37	0	1
2021.03.11	21:47:00	1.19826	1.19834	1.19826	1.19834	23	0	1
2021.03.11	21:48:00	1.19834	1.19834	1.19827	1.19828	23	0	1
2021.03.11	21:49:00	1.19825	1.19825	1.19815	1.19816	34	0	1
2021.03.11	21:50:00	1.19817	1.19817	1.19809	1.19810	27	0	1
2021.03.11	21:51:00	1.19809	1.19822	1.19809	1.19818	41	0	1
2021.03.11	21:52:00	1.19817	1.19831	1.19817	1.19829	36	0	1
2021.03.11	21:53:00	1.19829	1.19831	1.19818	1.19820	38	0	1
2021.03.11	21:54:00	1.19820	1.19824	1.19815	1.19823	51	0	1
2021.03.11	21:55:00	1.19824	1.19826	1.19817	1.19822	56	0	1
2021.03.11	21:56:00	1.19821	1.19827	1.19819	1.19821	50	0	1
2021.03.11	21:57:00	1.19821	1.19824	1.19814	1.19822	54	0	1
2021.03.11	21:58:00	1.19822	1.19832	1.19822	1.19831	48	0	1
2021.03.11	21:59:00	1.19831	1.19837	1.19816	1.19816	86	0	1
2021.03.11	22:00:00	1.19816	1.19822	1.19809	1.19820	83	0	1
2021.03.11	22:01:00	1.19820	1.19848	1.19820	1.19848	89	0	1
2021.03.11	22:02:00	1.19848	1.19848	1.19824	1.19827	48	0	1
2021.03.11	22:03:00	1.19827	1.19827	1.19816	1.19819	29	0	1
2021.03.11	22:04:00	1.19819	1.19819	1.19815	1.19817	31	0	1
2021.03.11	22:05:00	1.19821	1.19824	1.19810	1.19811	47	0	1
2021.03.11	22:06:00	1.19810	1.19818	1.19810	1.19816	30	0	1
2021.03.11	22:07:00	1.19816	1.19823	1.19810	1.19823	33	0	1
2021.03.11	22:08:00	1.19824	1.19832	1.19824	1.19829	20	0	1
2021.03.11	22:09:00	1.19832	1.19832	1.19826	1.19826	19	0	1
2021.03.11	22:10:00	1.19826	1.19828	1.19819	1.19823	32	0	1
2021.03.11	22:11:00	1.19821	1.19828	1.19817	1.19828	21	0	1
2021.03.11	22:12:00	1.19827	1.19835	1.19822	1.19835	42	0	1
2021.03.11	22:13:00	1.19836	1.19844	1.19834	1.19840	47	0	1
2021.03.11	22:14:00	1.19840	1.19852	1.19836	1.19852	32	0	1
2021.03.11	22:15:00	1.19852	1.19859	1.19850	1.19854	39	0	1
2021.03.11	22:16:00	1.19856	1.19858	1.19849	1.19851	29	0	1
2021.03.11	22:17:00	1.19851	1.19860	1.19849	1.19858	35	0	1
2021.03.11	22:18:00	1.19858	1.19875	1.19858	1.19874	36	0	1
2021.03.11	22:19:00	1.19873	1.19875	1.19866	1.19873	33	0	1
2021.03.11	22:20:00	1.19873	1.19878	1.19870	1.19876	47	0	1
2021.03.11	22:21:00	1.19876	1.19884	1.19872	1.19874	52	0	1
2021.03.11	22:22:00	1.19873	1.19878	1.19871	1.19877	11	0	1
2021.03.11	22:23:00	1.19877	1.19879	1.19871	1.19874	25	0	1
2021.03.11	22:24:00	1.19874	1.19880	1.19873	1.19877	30	0	1
2021.03.11	22:25:00	1.19877	1.19885	1.19875	1.19884	29	0	1
2021.03.11	22:26:00	1.19887	1.19888	1.19879	1.19886	33	0	1
2021.03.11	22:27:00	1.19885	1.19885	1.19874	1.19876	28	0	1
2021.03.11	22:28:00	1.19877	1.19882	1.19876	1.19881	15	0	1
2021.03.11	22:29:00	1.19881	1.19886	1.19876	1.19876	23	0	1
2021.03.11	22:30:00	1.19877	1.19882	1.19868	1.19879	44	0	1
2021.03.11	22:31:00	1.19877	1.19880	1.19866	1.19866	43	0	1
2021.03.11	22:32:00	1.19868	1.19877	1.19866	1.19875	47	0	1
2021.03.11	22:33:00	1.19875	1.19876	1.19866	1.19874	41	0	1
2021.03.11	22:34:00	1.19874	1.19891	1.19874	1.19889	37	0	1
2021.03.11	22:35:00	1.19889	1.19892	1.19885	1.19885	13	0	1
2021.03.11	22:36:00	1.19886	1.19890	1.19884	1.19888	26	0	1
2021.03.11	22:37:00	1.19888	1.19889	1.19880	1.19884	31	0	1
2021.03.11	22:38:00	1.19884	1.19900	1.19884	1.19896	37	0	1
2021.03.11	22:39:00	1.19899	1.19899	1.19884	1.19895	54	0	1
2021.03.11	22:40:00	1.19895	1.19896	1.19891	1.19896	26	0	1
2021.03.11	22:41:00	1.19897	1.19900	1.19887	1.19890	51	0	1
2021.03.11	22:42:00	1.19890	1.19894	1.19889	1.19893	37	0	1
2021.03.11	22:43:00	1.19893	1.19899	1.19892	1.19899	26	0	1
2021.03.11	22:44:00	1.19899	1.19899	1.19884	1.19885	27	0	1
2021.03.11	22:45:00	1.19885	1.19890	1.19881	1.19890	26	0	1
2021.03.11	22:46:00	1.19890	1.19892	1.19887	1.19892	19	0	1
2021.03.11	22:47:00	1.19893	1.19895	1.19888	1.19891	32	0	1
2021.03.11	22:48:00	1.19891	1.19900	1.19890	1.19898	24	0	1
2021.03.11	22:49:00	1.19898	1.19899	1.19898	1.19898	5	0	1
2021.03.11	22:50:00	1.19895	1.19898	1.19893	1.19895	22	0	1
2021.03.11	22:51:00	1.19893	1.19894	1.19890	1.19890	13	0	1
2021.03.11	22:52:00	1.19891	1.19894	1.19886	1.19893	19	0	1
2021.03.11	22:53:00	1.19893	1.19894	1.19888	1.19889	17	0	1
2021.03.11	22:54:00	1.19888	1.19890	1.19881	1.19889	45	0	1
