Date,Time,Open,High,Low,Close,Tick,Volume,Spread
2021.03.01,10:44:00,111630,111640,111565,111570,5500,20884,5
2021.03.01,10:45:00,111570,111600,111440,111585,24435,84024,5
2021.03.01,10:46:00,111580,111635,111510,111605,12660,47957,5
2021.03.01,10:47:00,111605,111645,111475,111540,12262,44645,5
2021.03.01,10:48:00,111540,111570,111475,111480,7371,27905,5
2021.03.01,10:49:00,111485,111495,111325,111340,20630,74057,5
2021.03.01,10:50:00,111345,111355,111245,111245,15227,54025,5
2021.03.01,10:51:00,111245,111275,111120,111140,23826,86806,5
2021.03.01,10:52:00,111140,111250,111125,111175,13288,48674,5
2021.03.01,10:53:00,111170,111200,111035,111085,20207,73100,5
2021.03.01,10:54:00,111085,111150,111015,111050,14929,53778,5
2021.03.01,10:55:00,111050,111150,110765,110840,36948,131511,5
2021.03.01,10:56:00,110840,110860,110635,110745,23703,86655,5
2021.03.01,10:57:00,110745,110815,110690,110760,14259,54253,5
2021.03.01,10:58:00,110760,110925,110760,110885,17735,68591,5
2021.03.01,10:59:00,110885,110940,110880,110890,6562,26859,5
2021.03.01,11:00:00,110890,110980,110885,110890,12782,51298,5
2021.03.01,11:01:00,110890,110900,110735,110770,19907,77048,5
2021.03.01,11:02:00,110775,110775,110675,110680,14100,56932,5
2021.03.01,11:03:00,110680,110810,110670,110810,12676,52351,5
2021.03.01,11:04:00,110805,110845,110735,110750,11068,44943,5
2021.03.01,11:05:00,110750,110960,110735,110890,21336,91884,5
2021.03.01,11:06:00,110890,110920,110800,110870,9710,41790,5
2021.03.01,11:07:00,110875,110905,110740,110765,11553,54234,5
2021.03.01,11:08:00,110770,110905,110730,110880,10545,42205,5
2021.03.01,11:09:00,110880,110915,110770,110795,7228,27160,5
2021.03.01,11:10:00,110795,110885,110785,110845,8265,30645,5
2021.03.01,11:11:00,110850,111035,110815,111025,16865,62908,5
2021.03.01,11:12:00,111025,111035,110950,111000,11494,43456,5
2021.03.01,11:13:00,111000,111030,110890,111005,11400,40771,5
2021.03.01,11:14:00,111005,111060,110960,111025,9430,34332,5
2021.03.01,11:15:00,111020,111050,110910,110925,11674,45315,5
2021.03.01,11:16:00,110925,110925,110710,110730,21336,75000,5
2021.03.01,11:17:00,110730,110825,110705,110805,11613,45997,5
2021.03.01,11:18:00,110805,110910,110790,110830,11895,42439,5
2021.03.01,11:19:00,110835,110845,110755,110775,7590,28480,5
2021.03.01,11:20:00,110770,110845,110720,110835,9240,32677,5
2021.03.01,11:21:00,110840,110860,110670,110765,14844,54105,5
2021.03.01,11:22:00,110765,110825,110730,110800,7435,26076,5
2021.03.01,11:23:00,110795,110940,110795,110900,11127,39281,5
2021.03.01,11:24:00,110900,110940,110850,110905,7609,30367,5
2021.03.01,11:25:00,110905,111015,110900,110990,10879,37976,5
2021.03.01,11:26:00,110990,111015,110920,110925,6497,24423,5
2021.03.01,11:27:00,110920,111035,110915,111020,7342,28806,5
2021.03.01,11:28:00,111020,111140,111015,111050,21272,75118,5
2021.03.01,11:29:00,111050,111115,110975,111055,12764,46555,5
2021.03.01,11:30:00,111050,111160,111035,111085,17639,67961,5
2021.03.01,11:31:00,111090,111175,110925,111160,23069,89022,5
2021.03.01,11:32:00,111160,111185,111010,111040,17092,70251,5
2021.03.01,11:33:00,111040,111075,110940,110950,12935,51672,5
2021.03.01,11:34:00,110950,111015,110835,110965,19634,75223,5
2021.03.01,11:35:00,110965,111010,110845,110945,15751,62479,5
2021.03.01,11:36:00,110945,110965,110670,110735,23431,91419,5
2021.03.01,11:37:00,110735,110870,110715,110735,15385,59049,5
2021.03.01,11:38:00,110735,110865,110720,110755,10930,43147,5
2021.03.01,11:39:00,110755,110845,110685,110785,12519,53170,5
2021.03.01,11:40:00,110785,110805,110570,110625,27693,103938,5
2021.03.01,11:41:00,110630,110630,110450,110540,23193,86024,5
2021.03.01,11:42:00,110540,110730,110530,110715,17772,68174,5
2021.03.01,11:43:00,110720,110960,110705,110915,20828,73462,5
2021.03.01,11:44:00,110910,111020,110910,110985,11028,39834,5
2021.03.01,11:45:00,110985,111045,110960,111015,11347,41994,5
2021.03.01,11:46:00,111015,111095,110875,110935,18565,71424,5
2021.03.01,11:47:00,110935,110970,110810,110830,13173,52407,5
2021.03.01,11:48:00,110825,110960,110765,110830,18445,70664,5
2021.03.01,11:49:00,110835,110870,110720,110765,13074,52793,5
2021.03.01,11:50:00,110765,110770,110555,110595,19992,74042,5
2021.03.01,11:51:00,110595,110755,110585,110730,14049,54971,5
2021.03.01,11:52:00,110730,110830,110650,110720,15440,59842,5
2021.03.01,11:53:00,110715,110915,110710,110880,12694,51040,5
2021.03.01,11:54:00,110875,111030,110870,111015,13400,52732,5
2021.03.01,11:55:00,111025,111135,111015,111080,14963,60999,5
2021.03.01,11:56:00,111080,111160,111050,111110,9421,37496,5
2021.03.01,11:57:00,111115,111125,110970,111100,14445,54884,5
2021.03.01,11:58:00,111095,111105,110970,111090,8398,35637,5
2021.03.01,11:59:00,111090,111095,110990,111040,4938,19968,5
2021.03.01,12:00:00,111040,111075,110915,110930,12624,49811,5
2021.03.01,12:01:00,110930,111165,110930,111130,15771,63421,5
2021.03.01,12:02:00,111135,111360,111130,111250,29468,108224,5
2021.03.01,12:03:00,111250,111330,111215,111280,10974,46293,5
2021.03.01,12:04:00,111280,111325,111120,111195,13608,54426,5
2021.03.01,12:05:00,111185,111345,111185,111235,13547,50404,5
2021.03.01,12:06:00,111235,111275,111010,111070,16574,65653,5
2021.03.01,12:07:00,111070,111200,111030,111125,12893,51637,5
2021.03.01,12:08:00,111125,111180,111095,111145,6536,26362,5
2021.03.01,12:09:00,111150,111325,111145,111275,12918,48888,5
2021.03.01,12:10:00,111280,111450,111270,111440,18090,69878,5
2021.03.01,12:11:00,111445,111555,111440,111510,16614,70085,5
2021.03.01,12:12:00,111505,111560,111450,111520,9106,34612,5
2021.03.01,12:13:00,111515,111535,111375,111475,11221,40982,5
2021.03.01,12:14:00,111480,111595,111460,111575,10866,41344,5
2021.03.01,12:15:00,111575,111725,111570,111700,18789,75296,5
2021.03.01,12:16:00,111705,111735,111615,111620,10830,41453,5
2021.03.01,12:17:00,111620,111680,111595,111660,7312,31224,5
2021.03.01,12:18:00,111660,111710,111595,111625,7000,27060,5
2021.03.01,12:19:00,111615,111690,111615,111670,5004,21302,5
