Date,Open,High,Low,Close,Ticks,Volume,Spread
2020.04.02,72810,74040,71010,72250,4467869,11036750,5
2020.04.03,72450,73275,67710,69300,4729798,11063620,5
2020.04.06,72650,75370,72150,74400,3829335,10796056,5
2020.04.07,77800,79985,76070,76595,4714287,13796891,5
2020.04.08,77050,79180,76115,79090,4258509,12376798,5
2020.04.09,78510,80470,77420,78190,4286614,13011716,5
2020.04.13,77520,79345,76315,79255,4343568,13303853,5
2020.04.14,80290,81725,79800,80185,3570947,11191069,5
2020.04.15,78115,80280,77810,79520,3191484,10153544,5
2020.04.16,79950,80400,77635,79365,3465435,11772727,5
2020.04.17,81000,81000,77945,79300,3265967,10812650,5
2020.04.20,76890,80455,76780,79550,3486536,11237363,5
2020.04.22,78750,81500,78340,80515,3435496,10579972,5
2020.04.23,80500,81960,78700,79550,3794100,11735907,5
2020.04.24,79020,79020,71800,76800,3583076,9757622,5
2020.04.27,78000,78925,76420,78250,3898974,10490247,5
2020.04.28,79900,81710,79650,81530,3387426,10052396,5
2020.04.29,82160,84240,81810,84240,3322925,9141327,5
2020.04.30,82880,83070,79955,80100,3496520,10239580,5
2020.05.04,77350,79360,77050,79090,2652064,8327032,5
2020.05.05,80200,81290,79225,80300,3144866,9912857,5
2020.05.06,80235,80500,78110,78745,3127581,10190759,5
2020.05.07,79990,80885,78105,78870,3396773,10897353,5
2020.05.08,79460,80985,79100,80615,2745798,8849274,5
2020.05.11,79465,80820,78725,79000,2962059,9543907,5
2020.05.12,79550,80445,77530,77600,3171228,10439537,5
2020.05.13,79000,79165,77170,78500,3168833,10559032,5
2020.05.14,77520,79530,75680,79405,3527738,12318040,5
2020.05.15,78610,79700,77275,77590,3622708,11477319,5
2020.05.18,79535,81635,79385,81490,2735766,9652567,5
2020.05.19,81365,82350,80565,80900,3137030,10753716,5
2020.05.20,81635,82435,80920,81615,2751556,9613438,5
2020.05.21,81085,83490,80875,83280,2884172,10170426,5
2020.05.22,82995,84390,81500,84310,3230932,10275274,5
2020.05.25,85245,86115,84725,86010,2476156,6928502,5
2020.05.26,86680,87445,85360,86085,3414689,10501042,5
2020.05.27,86775,88260,86005,88105,2962259,9835986,5
2020.05.28,87915,88210,86595,86595,3239056,10336698,5
2020.05.29,86605,87625,85365,87570,3163600,10148118,5
2020.06.01,87500,89155,86670,88830,2442070,8379481,5
2020.06.02,89655,91500,89145,91470,2441950,8561004,5
2020.06.03,91525,93835,91520,92670,2959203,10458872,5
2020.06.04,92110,94270,91970,93815,3263943,10772458,5
2020.06.05,95445,97450,94300,94450,3262007,10537603,5
2020.06.08,95670,97820,95460,97665,2939285,9821352,5
2020.06.09,96700,97390,95505,96520,2922188,9239240,5
2020.06.10,97020,97975,94325,94325,3926880,13069050,5
